id,canonicalName,aliases,regions,category,family,priorityBatch,portionStrategies,highImpactUnknowns,status,pendingIngredientSlots
dish:in:ghugni,Ghugni,,Pan-India,dal_legume,legume_preparation,A,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:cholar-dal,Cholar Dal,,West Bengal | Eastern India,dal_legume,legume_preparation,B,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:maa-ki-dal,Maa ki Dal,,Pan-India,dal_legume,legume_preparation,B,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:kulthi-dal,Kulthi Dal,,Pan-India,dal_legume,legume_preparation,B,measured_g | katori_volume | ladle,water_ratio | tadka_fat | pulse_concentration,DRAFT_CURATED,4
dish:in:aloo-gobi,Aloo Gobi,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:aloo-matar,Aloo Matar,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:aloo-palak,Aloo Palak,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:aloo-jeera,Aloo Jeera,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:dum-aloo,Dum Aloo,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:kashmiri-dum-aloo,Kashmiri Dum Aloo,,Kashmir | North India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:bombay-aloo,Bombay Aloo,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:bhindi-masala,Bhindi Masala,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:bhindi-fry,Bhindi Fry,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:bharwa-bhindi,Bharwa Bhindi,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:baingan-bharta,Baingan Bharta,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:baingan-masala,Baingan Masala,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:bharwa-baingan,Bharwa Baingan,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:aloo-baingan,Aloo Baingan,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:lauki-sabzi,Lauki Sabzi,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:lauki-chana-dal,Lauki Chana Dal,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:tori-sabzi,Tori Sabzi,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:tinda-masala,Tinda Masala,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:karela-sabzi,Karela Sabzi,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:bharwa-karela,Bharwa Karela,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:patta-gobi-sabzi,Patta Gobi Sabzi,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:gobi-matar,Gobi Matar,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:matar-mushroom,Matar Mushroom,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:mushroom-masala,Mushroom Masala,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:mushroom-do-pyaza,Mushroom Do Pyaza,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:mix-veg-curry,Mix Veg Curry,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:veg-korma,Veg Korma,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:navratan-korma,Navratan Korma,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:malai-kofta,Malai Kofta,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:veg-kofta-curry,Veg Kofta Curry,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:kofta-curry,Kofta Curry,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:palak-corn,Palak Corn,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:corn-masala,Corn Masala,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:methi-malai-matar,Methi Malai Matar,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:sarson-ka-saag,Sarson ka Saag,,Punjab | North India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:palak-saag,Palak Saag,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:bathua-saag,Bathua Saag,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:chana-saag,Chana Saag,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:avial,Avial,,Kerala | South India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:thoran,Thoran,,Kerala | South India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:beans-poriyal,Beans Poriyal,,Kerala | South India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:cabbage-poriyal,Cabbage Poriyal,,Kerala | South India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:beetroot-poriyal,Beetroot Poriyal,,Kerala | South India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:cabbage-foogath,Cabbage Foogath,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:undhiyu,Undhiyu,,Gujarat | Western India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:sev-tameta,Sev Tameta,,Gujarat | Western India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:ringna-no-olo,Ringna no Olo,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:karela-fry,Karela Fry,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:chokha,Chokha,bihari chokha,Bihar | Jharkhand | Eastern India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,mustard_oil_amount | potato_vs_eggplant_ratio | serving_weight,DRAFT_CURATED,3
dish:in:aloo-chokha,Aloo Chokha,,Bihar | Jharkhand | Eastern India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:baingan-chokha,Baingan Chokha,,Bihar | Jharkhand | Eastern India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:tomato-chokha,Tomato Chokha,,Bihar | Jharkhand | Eastern India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:sukhi-aloo-sabzi,Sukhi Aloo Sabzi,,Pan-India,vegetable_dish,vegetable_preparation,B,measured_g | katori_volume | serving_spoon,added_fat | gravy_ratio | primary_vegetable_amount,DRAFT_CURATED,4
dish:in:paneer-butter-masala,Paneer Butter Masala,paneer makhani | butter paneer,Pan-India,paneer_dairy,paneer_preparation,B,measured_g | katori_volume | paneer_cube_count,paneer_amount | butter_ghee_amount | cream_amount | cashew_paste_amount | serving_weight,DRAFT_CURATED,5
dish:in:kadai-paneer,Kadai Paneer,,Pan-India,paneer_dairy,paneer_preparation,B,measured_g | paneer_cube_count | katori_volume,paneer_amount | added_fat | cream_or_cashew,DRAFT_CURATED,4
dish:in:palak-paneer,Palak Paneer,,Pan-India,paneer_dairy,paneer_preparation,B,measured_g | paneer_cube_count | katori_volume,paneer_amount | added_fat | cream_or_cashew,DRAFT_CURATED,4
dish:in:shahi-paneer,Shahi Paneer,,Pan-India,paneer_dairy,paneer_preparation,B,measured_g | paneer_cube_count | katori_volume,paneer_amount | added_fat | cream_or_cashew,DRAFT_CURATED,4
dish:in:matar-paneer,Matar Paneer,,Pan-India,paneer_dairy,paneer_preparation,B,measured_g | paneer_cube_count | katori_volume,paneer_amount | added_fat | cream_or_cashew,DRAFT_CURATED,4
dish:in:paneer-tikka-masala,Paneer Tikka Masala,,Pan-India,paneer_dairy,paneer_preparation,B,measured_g | paneer_cube_count | katori_volume,paneer_amount | added_fat | cream_or_cashew,DRAFT_CURATED,4
dish:in:paneer-tikka,Paneer Tikka,,Pan-India,paneer_dairy,paneer_preparation,B,measured_g | paneer_cube_count | katori_volume,paneer_amount | added_fat | cream_or_cashew,DRAFT_CURATED,4
dish:in:paneer-bhurji,Paneer Bhurji,,Pan-India,paneer_dairy,paneer_preparation,B,measured_g | paneer_cube_count | katori_volume,paneer_amount | added_fat | cream_or_cashew,DRAFT_CURATED,4
dish:in:malai-paneer,Malai Paneer,,Pan-India,paneer_dairy,paneer_preparation,B,measured_g | paneer_cube_count | katori_volume,paneer_amount | added_fat | cream_or_cashew,DRAFT_CURATED,4
dish:in:paneer-do-pyaza,Paneer Do Pyaza,,Pan-India,paneer_dairy,paneer_preparation,B,measured_g | paneer_cube_count | katori_volume,paneer_amount | added_fat | cream_or_cashew,DRAFT_CURATED,4
dish:in:butter-chicken,Butter Chicken,murgh makhani,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-curry,Chicken Curry,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:kadai-chicken,Kadai Chicken,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-korma,Chicken Korma,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-do-pyaza,Chicken Do Pyaza,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-saag,Chicken Saag,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-tikka-masala,Chicken Tikka Masala,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-tikka,Chicken Tikka,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:tandoori-chicken,Tandoori Chicken,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-65,Chicken 65,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-chettinad,Chicken Chettinad,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-sukka,Chicken Sukka,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-cafreal,Chicken Cafreal,,Goa | Western India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-xacuti,Chicken Xacuti,,Goa | Western India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-vindaloo,Chicken Vindaloo,,Goa | Western India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-kolhapuri,Chicken Kolhapuri,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-handi,Chicken Handi,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-changezi,Chicken Changezi,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:champaran-chicken,Champaran Chicken,,Bihar | Jharkhand | Eastern India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:chicken-stew,Chicken Stew,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:mutton-curry,Mutton Curry,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:rogan-josh,Rogan Josh,,Kashmir | North India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:mutton-korma,Mutton Korma,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:mutton-do-pyaza,Mutton Do Pyaza,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:mutton-saag,Mutton Saag,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:mutton-vindaloo,Mutton Vindaloo,,Goa | Western India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:mutton-sukka,Mutton Sukka,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:mutton-pepper-fry,Mutton Pepper Fry,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:champaran-mutton,Champaran Mutton,,Bihar | Jharkhand | Eastern India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:laal-maas,Laal Maas,,Rajasthan | Northwest India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:keema-matar,Keema Matar,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:mutton-keema,Mutton Keema,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:nihari,Nihari,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:haleem,Haleem,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:pork-vindaloo,Pork Vindaloo,,Goa | Western India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:pork-curry,Pork Curry,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:pork-with-bamboo-shoot,Pork with Bamboo Shoot,,Northeast India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:smoked-pork,Smoked Pork,,Northeast India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:fish-curry,Fish Curry,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:bengali-fish-curry,Bengali Fish Curry,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:machher-jhol,Machher Jhol,macher jhol,West Bengal | Eastern India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:doi-maach,Doi Maach,,West Bengal | Eastern India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:goan-fish-curry,Goan Fish Curry,,Goa | Western India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:kerala-fish-curry,Kerala Fish Curry,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:meen-moilee,Meen Moilee,,Kerala | South India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:fish-fry,Fish Fry,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:amritsari-fish,Amritsari Fish,,Punjab | North India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:prawn-curry,Prawn Curry,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:prawn-masala,Prawn Masala,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:prawn-fry,Prawn Fry,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:egg-curry,Egg Curry,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:anda-bhurji,Anda Bhurji,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:masala-omelette,Masala Omelette,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:egg-roast,Egg Roast,,Pan-India,protein_dish,protein_preparation,B,measured_g | piece_count | katori_volume,edible_meat_amount | added_fat | gravy_ratio,DRAFT_CURATED,4
dish:in:samosa,Samosa,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:aloo-samosa,Aloo Samosa,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:kachori,Kachori,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:dal-kachori,Dal Kachori,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:pyaz-kachori,Pyaz Kachori,,Rajasthan | Northwest India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:raj-kachori,Raj Kachori,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:pakora,Pakora,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:onion-pakora,Onion Pakora,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:paneer-pakora,Paneer Pakora,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:bread-pakora,Bread Pakora,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:aloo-tikki,Aloo Tikki,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:aloo-tikki-chaat,Aloo Tikki Chaat,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:papdi-chaat,Papdi Chaat,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:dahi-papdi-chaat,Dahi Papdi Chaat,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:dahi-vada,Dahi Vada,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:bhel-puri,Bhel Puri,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:sev-puri,Sev Puri,,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
dish:in:pani-puri,Pani Puri,golgappa | puchka | gupchup,Pan-India,street_food_snack,street_snack,B,count | piece_weight_g | plate_portion,frying_oil_absorption | filling_amount | sauce_or_chutney,DRAFT_CURATED,4
